portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,680408,SUKU-USD,BUY,2021-11-23T19:56:36.505Z,493.20000000,SUKU,0.8737,1.50818094,-432.41702094,USD
default,680409,SUKU-USD,BUY,2021-11-23T19:56:36.505Z,2300.00000000,SUKU,0.8738,7.03409,-2016.77409,USD
default,680410,SUKU-USD,BUY,2021-11-23T19:56:36.505Z,2206.80000000,SUKU,0.874,6.7506012,-1935.4938012,USD
default,729976,SUKU-USD,SELL,2021-11-27T18:25:30.797Z,5000.00000000,SUKU,0.92,16.1,4583.9,USD
default,770459,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1515.90000000,SUKU,0.7885,4.183505025,-1199.470655025,USD
default,770460,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,634.40000000,SUKU,0.7886,1.75100744,-502.03884744,USD
default,770461,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,254.00000000,SUKU,0.7886,0.7010654,-201.0054654,USD
default,770462,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7887,0.00276045,-0.79146045,USD
default,770463,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,254.00000000,SUKU,0.7887,0.7011543,-201.0309543,USD
default,770464,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7888,0.0027608,-0.7915608,USD
default,770465,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7888,0.0027608,-0.7915608,USD
default,770466,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1423.20000000,SUKU,0.7888,3.92917056,-1126.54933056,USD
default,770467,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7889,0.00276115,-0.79166115,USD
default,770468,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7889,0.00276115,-0.79166115,USD
default,770469,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.789,0.0027615,-0.7917615,USD
default,770470,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.789,0.0027615,-0.7917615,USD
default,770471,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1268.90000000,SUKU,0.789,3.50406735,-1004.66616735,USD
default,770472,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7891,0.00276185,-0.79186185,USD
default,770473,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7891,0.00276185,-0.79186185,USD
default,770474,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7892,0.0027622,-0.7919622,USD
default,770475,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,10.50000000,SUKU,0.7892,0.0290031,-8.3156031,USD
default,770476,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7893,0.00276255,-0.79206255,USD
default,770477,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7894,0.0027629,-0.7921629,USD
default,770478,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7895,0.00276325,-0.79226325,USD
default,770479,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7895,0.00276325,-0.79226325,USD
default,770480,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,670.00000000,SUKU,0.7895,1.8513775,-530.8163775,USD
default,770481,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1000.00000000,SUKU,0.7895,2.76325,-792.26325,USD
default,770482,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,508.00000000,SUKU,0.7895,1.403731,-402.469731,USD
default,770483,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7896,0.0027636,-0.7923636,USD
